token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
11647,KOTARISUG-EQ,KOTARISUG,,-1,1,,NSE,1
11779,ACEINTEG-EQ,ACEINTEG,,-1,1,,NSE,1
1185,AMBER-EQ,AMBER,,-1,1,,NSE,50
11804,SUKHJITS-EQ,SUKHJITS,,-1,1,,NSE,1
11856,SHAHALLOYS-EQ,SHAHALLOYS,,-1,1,,NSE,1
11860,JKPAPER-EQ,JKPAPER,,-1,1,,NSE,5
11864,PRIMESECU-EQ,PRIMESECU,,-1,1,,NSE,5
11910,RITEZONE-SM,RITEZONE,,-1,1600,,NSE,5
12018,SUZLON-EQ,SUZLON,,-1,1,,NSE,1
12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1,1,,NSE,5
13,ABB-EQ,ABB,,-1,1,,NSE,50
13072,IIFLCAPS-EQ,IIFLCAPS,,-1,1,,NSE,5
13091,EKC-EQ,EKC,,-1,1,,NSE,1
13092,ARHAM-SM,ARHAM,,-1,1000,,NSE,5
13229,GVKPIL-BE,GVKPIL,,-1,1,,NSE,1
13275,INDOTECH-EQ,INDOTECH,,-1,1,,NSE,10
13349,UMA-SM,UMA,,-1,4000,,NSE,5
13409,GPIL-EQ,GPIL,,-1,1,,NSE,5
13507,MOXSH-ST,MOXSH,,-1,3200,,NSE,5
13557,AVONMORE-EQ,AVONMORE,,-1,1,,NSE,1
13560,GRINDWELL-EQ,GRINDWELL,,-1,1,,NSE,10
13580,RADIANTCMS-EQ,RADIANTCMS,,-1,1,,NSE,1
13740,SHYAMTEL-EQ,SHYAMTEL,,-1,1,,NSE,1
13751,NAUKRI-EQ,NAUKRI,,-1,1,,NSE,10
13791,PARSVNATH-EQ,PARSVNATH,,-1,1,,NSE,1
1394,HINDUNILVR-EQ,HINDUNILVR,,-1,1,,NSE,10
13925,NFL-EQ,NFL,,-1,1,,NSE,1
14003,ZEEMEDIA-EQ,ZEEMEDIA,,-1,1,,NSE,1
14014,LUMAXTECH-EQ,LUMAXTECH,,-1,1,,NSE,10
1403,HINDOILEXP-EQ,HINDOILEXP,,-1,1,,NSE,1
14101,PTL-EQ,PTL,,-1,1,,NSE,1
14150,BTML-EQ,BTML,,-1,1,,NSE,1
14299,PFC-EQ,PFC,,-1,1,,NSE,5
14325,VIAZ-ST,VIAZ,,-1,2000,,NSE,5
14319,TFL-EQ,TFL,,-1,1,,NSE,1
14339,GANESHHOU-EQ,GANESHHOU,,-1,1,,NSE,5
14418,ASTRAL-EQ,ASTRAL,,-1,1,,NSE,10
1448,HLVLTD-EQ,HLVLTD,,-1,1,,NSE,1
14445,NAHARPOLY-EQ,NAHARPOLY,,-1,1,,NSE,5
14485,THEMISMED-EQ,THEMISMED,,-1,1,,NSE,1
14722,NIRMAN-SM,NIRMAN,,-1,300,,NSE,5
14788,SPARC-EQ,SPARC,,-1,1,,NSE,1
1482,IFBAGRO-EQ,IFBAGRO,,-1,1,,NSE,10
